PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39772261,Persistence of Long COVID Symptoms Two Years After SARS-CoV-2 Infection: A Prospective Longitudinal Cohort Study.,2024,,"Gili Joseph, Ili Margalit, Yael Weiss-Ottolenghi, Carmit Rubin, Havi Murad, Raquel C Gardner, Noam Barda, Elena Ben-Shachar, Victoria Indenbaum, Mayan Gilboa, Sharon Alroy-Preis, Yitshak Kreiss, Yaniv Lustig, Gili Regev-Yochay",N/A
39772248,Immune Response to SARS-CoV-2 XBB.1.5 and JN.1 Variants Following XBB.1.5 Booster Vaccination in Liver Transplant Recipients.,2024,,"Philippa von der Schulenburg, Georg M N Behrens, Markus Hoffmann, Alexandra Linke, Inga Nehlmeier, Amy Madeleine Kempf, Metodi Stankov, Marc Lütgehetmann, Jacqueline Jahnke-Triankowski, Marylyn M Addo, Lutz Fischer, Ansgar W Lohse, Stefan Pöhlmann, Julian Schulze Zur Wiesch, Martina Sterneck",N/A
39772242,A Global Collaborative Comparison of SARS-CoV-2 Antigenicity Across 15 Laboratories.,2024,,"Polina Brangel, Sina Tureli, Barbara Mühlemann, Nicole Liechti, Daniel Zysset, Olivier Engler, Isabel Hunger-Glaser, Ioana Ghiga, Giada Mattiuzzo, Isabella Eckerle, Meriem Bekliz, Annika Rössler, Melanie M Schmitt, Ludwig Knabl, Janine Kimpel, Luis Fernando Lopez Tort, Mia Ferreira de Araujo, Any Caroline Alves de Oliveira, Braulia Costa Caetano, Marilda Mendonça Siqueira, Matthias Budt, Jean-Marc Gensch, Thorsten Wolff, Tarteel Hassan, Francis Amirtharaj Selvaraj, Tandile Hermanus, Prudence Kgagudi, Carol Crowther, Simone I Richardson, Jinal N Bhiman, Penny L Moore, Samuel M S Cheng, John K C Li, Leo L M Poon, Malik Peiris, Victor M Corman, Christian Drosten, Lilin Lai, Taweewun Hunsawong, Kamonthip Rungrojcharoenkit, Jindarat Lohachanakul, Alex Sigal, Khadija Khan, Volker Thiel, G Tuba Barut, Nadine Ebert, Anna Z Mykytyn, Irene Owusu Donkor, James Odame Aboagye, Prince Adom Nartey, Maria D Van Kerkhove, Jane Cunningham, Bart L Haagmans, Mehul S Suthar, Derek Smith, Lorenzo Subissi",N/A
39772238,Development and Evaluation of a Newcastle Disease Virus-like Particle Vaccine Expressing SARS-CoV-2 Spike Protein with Protease-Resistant and Stability-Enhanced Modifications.,2024,,"Yu Chen, Fan Tian, Shunlin Hu, Xiufan Liu",N/A
39772203,Pemphigus and Bullous Pemphigoid Following COVID-19 Vaccination: A Systematic Review.,2024,,"Fabrizio Martora, Teresa Battista, Luca Potestio, Maddalena Napolitano, Cataldo Patruno, Matteo Megna, Michela D'Agostino",N/A
39772198,"Seasonal Shifts in Influenza, Respiratory Syncytial Virus, and Other Respiratory Viruses After the COVID-19 Pandemic: An Eight-Year Retrospective Study in Jalisco, Mexico.",2024,,"Ernestina Quintero-Salgado, Jaime Briseno-Ramírez, Gabriel Vega-Cornejo, Roberto Damian-Negrete, Gustavo Rosales-Chavez, Judith Carolina De Arcos-Jiménez",N/A
39772187,"Genomic Evolution of the SARS-CoV-2 Omicron Variant in Córdoba, Argentina (2021-2022): Analysis of Uncommon and Prevalent Spike Mutations.",2024,,"Nadia B Olivero, Victoria E Zappia, Pablo Gargantini, Candela Human-Gonzalez, Luciana Raya-Plasencia, Judith Marquez, Lucia Ortiz-Batsche, Mirelys Hernandez-Morfa, Paulo R Cortes, Danilo Ceschin, Mariana Nuñez-Fernandez, Daniel R Perez, José Echenique",N/A
39772174,Integrating Interpretability in Machine Learning and Deep Neural Networks: A Novel Approach to Feature Importance and Outlier Detection in COVID-19 Symptomatology and Vaccine Efficacy.,2024,,"Shadi Jacob Khoury, Yazeed Zoabi, Mickey Scheinowitz, Noam Shomron",N/A
39772170,Emerging SARS-CoV-2 Variants in Uganda in the Era of COVID-19 Vaccination.,2024,"James Humphreys, Sandra Cohuet","Nicholas Bbosa, Ronald Kiiza, Alfred Ssekagiri, Hamidah Suubi Namagembe, Stella Esther Nabirye, Danstan Kabuuka, Cleophous Rwankindo, Annet Kisakye, Yonas T Woldemariam, Sylvia Kusemererwa, Terry A Ongaria, Ayoub Kakande, Andrew Abaasa, Geofrey Kimbugwe, Henry Kyobe Bosa, Alfred Driwale, Jason M Mwenda, Archibald K Worwui, Alison M Elliott, Eugene Ruzagira, Pontiano Kaleebu, Deogratius Ssemwanga",N/A
39772165,Newly Proposed Dose of Daclatasvir to Prevent Lethal SARS-CoV-2 Infection in Human Transgenic ACE-2 Mice.,2024,"Mariana T G Moreira, Rafael S C Silva, Gabriel P E Silveira, Douglas P Pinto, Heliana M Pereira, Laís B Fonseca","Mayara Mattos, Carolina Q Sacramento, André C Ferreira, Natalia Fintelman-Rodrigues, Filipe S Pereira-Dutra, Caroline Souza de Freitas, João S M Gesto, Jairo R Temerozo, Aline de Paula Dias Da Silva, Marcelo Alves Ferreira, Camilla Blanco, João P B Viola, Dumith Chequer Bou-Habib, Patrícia T Bozza, Thiago Moreno L Souza",N/A
